delta,delta_conf,S1,S1_conf,names,var,lake,model
0.3361449297397657,0.01312001928242057,0.515370655162308,0.028179263322825963,swr,rmse,Allequash,FLake
0.12155841009667535,0.012256227930412237,0.010106431103762163,0.009578311979755484,wind_speed,rmse,Allequash,FLake
0.0519998188531115,0.010995057562473615,0.012116707745170112,0.009057209174374244,c_relax_C,rmse,Allequash,FLake
0.043216598888288764,0.009711195254489014,0.0074847819123531195,0.007836643290976756,fetch_lk,rmse,Allequash,FLake
0.042615084054203445,0.009540476241214136,0.0024384126126978075,0.006869030353347916,Kw,rmse,Allequash,FLake
0.036137848737245626,0.01002680504168062,0.004858548616096872,0.008462027316786162,depth_bs_lk,rmse,Allequash,FLake
0.6536674116092077,0.010538757568547288,0.950530022512415,0.004615539819876394,swr,r,Allequash,FLake
0.07892302739093307,0.008856849299540217,0.010695103450419012,0.010178580470412727,wind_speed,r,Allequash,FLake
0.07763013348264612,0.008647790083346154,0.014228208348447005,0.009785128313684964,c_relax_C,r,Allequash,FLake
0.06787273565744562,0.00869753367033403,0.009072314403312869,0.010978853433339309,fetch_lk,r,Allequash,FLake
0.06350582628967555,0.006362029436367107,0.001831659300791165,0.0060987399245206134,depth_bs_lk,r,Allequash,FLake
0.06344980457697191,0.007854293873686089,0.0060439156500324935,0.009625528423923902,Kw,r,Allequash,FLake
0.32464067994129203,0.013072767812419896,0.5372661583578697,0.027489193034932448,swr,nse,Allequash,FLake
0.10960392029710186,0.012848878501450403,0.010728229161346385,0.011102988669916165,wind_speed,nse,Allequash,FLake
0.060107000817338455,0.009364549462014362,0.011629734661005548,0.009460579717513002,c_relax_C,nse,Allequash,FLake
0.05660357396763683,0.00899493707430053,0.007892980363545282,0.008801903807246549,fetch_lk,nse,Allequash,FLake
0.05267813706831282,0.009385843094086558,0.002460426423621199,0.00631515081717181,Kw,nse,Allequash,FLake
0.05207204223975381,0.009674620434563007,0.004348206086292826,0.008089377102841269,depth_bs_lk,nse,Allequash,FLake
0.36441450168895834,0.012693263696545297,0.6172489546274766,0.021154217345985903,swr,bias,Allequash,FLake
0.21279986615830257,0.014572427353507559,0.32767924673384907,0.02807983832556545,wind_speed,bias,Allequash,FLake
0.04721615676494242,0.013694893002594482,0.008539710197169516,0.009348643285016002,c_relax_C,bias,Allequash,FLake
0.035863017059260455,0.012667919114370586,0.013174785697649734,0.012460702612492571,Kw,bias,Allequash,FLake
0.031084171683531104,0.012388794013718195,0.00857692383976034,0.008185669968816745,fetch_lk,bias,Allequash,FLake
0.023585361345115928,0.011711028600159695,0.003310411538096313,0.006945784989338851,depth_bs_lk,bias,Allequash,FLake
0.26548084578346864,0.011761088866472145,0.34541393854276864,0.031024833619587775,swr,mae,Allequash,FLake
0.11706066832609824,0.012372514703190054,0.026339039379496946,0.014904638442787542,wind_speed,mae,Allequash,FLake
0.05419985005475897,0.012954370850755364,0.010883894247931555,0.009096466758627495,c_relax_C,mae,Allequash,FLake
0.042002330031372555,0.010389654177645914,0.007865162467809392,0.010078108869864679,fetch_lk,mae,Allequash,FLake
0.03950405928720507,0.010271360048271056,0.00556272390695839,0.00761684382512482,depth_bs_lk,mae,Allequash,FLake
0.03947392688685458,0.009720044321568226,0.00304996027237968,0.0060675114152734,Kw,mae,Allequash,FLake
0.27748419081528797,0.017038634441331343,0.21865608630677968,0.029350128617481007,swr,rmse,Allequash,GLM
0.2762181748426684,0.02011039649673976,0.5483867980518202,0.03086484915224584,wind_speed,rmse,Allequash,GLM
0.07624728355501423,0.009263351921139869,0.008054854556736055,0.008420848427212356,Kw,rmse,Allequash,GLM
0.0488639563036177,0.010236832787088779,0.010320334647660261,0.011218226981409065,mixing.coef_mix_turb,rmse,Allequash,GLM
0.048022031338809945,0.011502033848253728,0.008730922080718061,0.008995406561278846,mixing.coef_mix_conv,rmse,Allequash,GLM
0.03699007294179926,0.01009397948590241,0.0020037247156885797,0.0056583914562906,mixing.coef_mix_hyp,rmse,Allequash,GLM
0.2628308350831968,0.01700184668545473,0.3130082808267477,0.03443488555521719,swr,r,Allequash,GLM
0.24211418051530878,0.01730464950667535,0.39315548261276473,0.04228504072265036,wind_speed,r,Allequash,GLM
0.08734204379787318,0.014032589292138905,0.059393289933680246,0.021702369546410895,Kw,r,Allequash,GLM
0.05068696178542998,0.011559225400059164,0.008700454825094604,0.009117912206059403,mixing.coef_mix_conv,r,Allequash,GLM
0.043558655832276125,0.01033164837065879,0.0038810389099572552,0.007083988872604496,mixing.coef_mix_turb,r,Allequash,GLM
0.026778343003442857,0.009220689519545217,0.0016756294198705403,0.005927893456565246,mixing.coef_mix_hyp,r,Allequash,GLM
0.2721301174559633,0.016684899828464377,0.5447060345129534,0.032014755214387076,wind_speed,nse,Allequash,GLM
0.26391357993085335,0.017722812396643504,0.17959205372596063,0.029710739337637612,swr,nse,Allequash,GLM
0.07779209070208923,0.011547051989227336,0.00761388309974611,0.008848084921447064,Kw,nse,Allequash,GLM
0.0632409737870772,0.008899245821836368,0.011246125756915172,0.011385773737634561,mixing.coef_mix_turb,nse,Allequash,GLM
0.05986795908282585,0.00897135688656181,0.008122461721444095,0.009492393818550285,mixing.coef_mix_conv,nse,Allequash,GLM
0.04839453790833705,0.008040893536923716,0.0017453599297544004,0.005555192354179394,mixing.coef_mix_hyp,nse,Allequash,GLM
0.5532385622842064,0.014036294378966212,0.7946750661165142,0.01343465876216956,swr,bias,Allequash,GLM
0.13159796935461368,0.015057032702774595,0.11975152941878756,0.029308986093514303,wind_speed,bias,Allequash,GLM
0.07992304758951257,0.014126493287045953,0.05592122246655559,0.019529341616666706,Kw,bias,Allequash,GLM
0.04022064249017843,0.01053829647136213,0.005345552041201824,0.008451084058390828,mixing.coef_mix_turb,bias,Allequash,GLM
0.039872191929359625,0.01235864633463537,0.004996347673365587,0.0077889980009752,mixing.coef_mix_hyp,bias,Allequash,GLM
0.03964993942583409,0.011137366682731397,0.0038190038630270297,0.0071582051118586724,mixing.coef_mix_conv,bias,Allequash,GLM
0.32273067406976447,0.015423550931267146,0.6322375619104736,0.022765855311451203,wind_speed,mae,Allequash,GLM
0.24220311104406722,0.017614463981625587,0.15740065157055824,0.03330347695571799,swr,mae,Allequash,GLM
0.06252930018906774,0.010407768187116178,0.006628322441605659,0.00804345436067239,Kw,mae,Allequash,GLM
0.052313608182277954,0.010013978192287682,0.010142033496380928,0.011104080910170146,mixing.coef_mix_turb,mae,Allequash,GLM
0.049587299528980576,0.009656445850511897,0.0075301261351511,0.00887473739894507,mixing.coef_mix_conv,mae,Allequash,GLM
0.03968884446528955,0.009721750251996456,0.001460798280922954,0.0057766145790697655,mixing.coef_mix_hyp,mae,Allequash,GLM
0.43370263998447195,0.014297207777901248,0.7391575826914084,0.017837263483421417,swr,rmse,Allequash,GOTM
0.15156393746265145,0.015124454970039464,0.17395593651179117,0.033738207581681785,wind_speed,rmse,Allequash,GOTM
0.07163395587483719,0.011560214366707861,0.018545696403753052,0.01268288579087449,turb_param.k_min,rmse,Allequash,GOTM
0.04074242572633577,0.010889441450311888,0.008775602839743149,0.008209511083992028,Kw,rmse,Allequash,GOTM
0.02806767140252813,0.011880526455467614,0.005426841418410966,0.008398952823259821,bottom.h0b,rmse,Allequash,GOTM
0.02420368835898591,0.011639766719886693,0.003244774316734097,0.006418901933204887,turb_param.const_num,rmse,Allequash,GOTM
0.2661147206249723,0.015246920038448207,0.2940688823192427,0.035432715013178746,turb_param.k_min,r,Allequash,GOTM
0.26595438431025414,0.013682521668013724,0.40872309189857403,0.030832000988063313,swr,r,Allequash,GOTM
0.15047367934051561,0.015726955725794814,0.05784320994557564,0.018834816511506394,wind_speed,r,Allequash,GOTM
0.04744943154399772,0.010608867598151233,0.011677130886975317,0.010415895384788333,Kw,r,Allequash,GOTM
0.04430049554851048,0.01120704776363633,0.006337341004364564,0.009130870219144197,bottom.h0b,r,Allequash,GOTM
0.035654301162126104,0.009998111631174542,0.005134258497471388,0.00769934671419087,turb_param.const_num,r,Allequash,GOTM
0.437191607675394,0.01582455968423864,0.753612660868406,0.018026700627593525,swr,nse,Allequash,GOTM
0.141467735839431,0.014510127177647361,0.15523144841262942,0.03024382383527687,wind_speed,nse,Allequash,GOTM
